,cigever,cigtry,cigyfu,cig30av,cigage,alcever,alctry,alcyfu,aldaypwk,mjever,mjage,mjyfu,mrdaypwk,snfamjev,lsd,psilcy,dmtamtfxy,salviadiv,lsdage,lsdyfu,abusealc,abusemrj,dstngd30,suicthnk,yodprev,yowrage,yowrdbtr,yowrsthk,year,irpinc3,catag6,health,irwrkstat,ireduhighst2,newrace2,irsex,snrlgimp
12902,1,15,9999,93,999,1,17,2018,1,1,14,9999,99,99,91,91,91,91,991,9991,0,0,99,99,2,999,99,99,2019,1,1,2,3,7,7,2,99
12903,1,9,9999,5,9,1,21,9999,93,1,19,9999,93,1,91,91,91,91,991,9991,0,0,4,2,99,999,99,99,2019,4,4,3,1,8,1,1,2
12904,1,27,2018,93,999,1,27,2019,1,2,991,9991,91,1,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,6,3,1,1,7,5,1,3
12905,1,10,9999,93,10,1,17,9999,93,1,10,9999,93,3,1,1,2,2,17,9999,0,0,5,2,99,999,99,99,2019,3,5,4,2,8,6,1,4
12906,1,8,9999,93,999,1,20,9999,99,1,10,9999,93,3,1,1,2,2,18,9999,0,0,5,2,99,999,99,99,2019,4,5,2,1,9,1,2,4
12907,1,18,9999,93,999,1,16,9999,5,1,18,9999,93,1,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,6,4,3,1,11,1,1,3
12908,2,991,9991,91,991,2,991,9991,91,2,991,9991,91,99,91,91,91,91,991,9991,0,0,99,99,1,999,99,99,2019,1,1,1,4,6,2,2,99
12909,1,18,9999,93,999,1,18,9999,99,1,19,9999,93,1,91,91,91,91,991,9991,0,0,1,1,99,999,99,99,2019,1,2,4,4,8,7,1,3
12910,1,13,9999,93,15,1,12,9999,5,1,13,9999,99,1,1,2,1,2,23,9999,0,0,5,2,99,999,99,99,2019,5,4,1,2,11,2,2,1
12911,1,10,9999,93,999,2,991,9991,91,2,991,9991,91,3,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,7,3,3,1,8,1,1,4
12912,2,991,9991,91,991,1,21,9999,2,2,991,9991,91,3,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,3,3,1,1,10,7,2,3
12913,1,16,9999,93,18,1,19,9999,99,1,19,9999,93,1,1,1,2,2,22,9999,0,0,5,2,99,999,99,99,2019,4,3,2,1,8,1,1,1
12914,1,13,9999,93,999,1,15,9999,99,1,15,9999,93,1,91,91,91,91,991,9991,0,0,3,2,99,999,99,99,2019,1,2,1,4,7,7,1,4
12915,2,991,9991,91,991,2,991,9991,91,2,991,9991,91,99,91,91,91,91,991,9991,0,0,99,99,1,999,99,99,2019,1,1,2,99,4,1,2,99
12916,2,991,9991,91,991,1,19,9999,99,1,19,9999,99,1,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,1,2,2,1,8,1,2,2
12917,1,19,9999,93,19,1,19,9999,99,1,68,2018,99,2,91,91,91,91,991,9991,1,0,5,2,99,999,99,99,2019,2,6,3,4,7,2,1,4
12918,1,16,9999,93,18,1,16,9999,99,1,17,9999,99,1,1,1,2,2,21,9999,0,0,5,2,99,999,99,99,2019,3,4,3,4,10,1,2,3
12919,1,15,9999,93,17,1,16,9999,99,1,15,9999,93,1,2,2,2,2,991,9991,0,0,3,2,99,999,99,99,2019,4,4,3,3,8,1,2,3
12920,2,991,9991,91,991,2,991,9991,91,2,991,9991,91,99,91,91,91,91,991,9991,0,0,99,99,2,999,99,99,2019,1,1,3,99,1,7,1,99
12921,2,991,9991,91,991,1,20,9999,93,2,991,9991,91,3,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,3,6,4,4,10,1,2,4
12922,1,15,9999,93,999,1,13,9999,3,1,15,9999,1,1,2,2,2,2,991,9991,0,0,4,2,99,999,99,99,2019,4,2,4,1,8,7,1,2
12923,2,991,9991,91,991,1,19,9999,3,1,21,2019,1,1,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,1,2,2,2,9,2,1,4
12924,2,991,9991,91,991,2,991,9991,91,2,991,9991,91,2,91,91,91,91,991,9991,0,0,4,2,99,999,99,99,2019,1,2,3,4,9,7,2,4
12925,2,991,9991,91,991,2,991,9991,91,2,991,9991,91,99,91,91,91,91,991,9991,0,0,99,99,2,999,99,99,2019,1,1,1,99,3,1,2,99
12926,2,991,9991,91,991,2,991,9991,91,2,991,9991,91,99,91,91,91,91,991,9991,0,0,99,99,1,11,1,1,2019,1,1,3,4,5,5,2,99
12927,1,9,9999,5,11,1,14,9999,93,1,12,9999,99,1,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,5,4,3,1,7,1,2,1
12928,1,10,9999,2,11,1,13,9999,3,1,11,9999,4,1,1,1,2,1,29,2017,0,0,3,2,99,999,99,99,2019,3,3,4,1,9,1,1,4
12929,2,991,9991,91,991,2,991,9991,91,2,991,9991,91,3,91,91,91,91,991,9991,0,0,3,2,99,999,99,99,2019,1,2,3,2,7,7,2,2
